Wall time,Step,Value
1686294312.8374913,0,0.2868525981903076
1686294334.0361738,1,0.43824702501296997
1686294357.7441485,2,0.45816734433174133
1686294380.017404,3,0.44223108887672424
1686294400.999415,4,0.4462151527404785
1686294421.7901309,5,0.5577689409255981
1686294442.6558967,6,0.5139442086219788
1686294463.746243,7,0.5458167195320129
1686294484.603863,8,0.6573705077171326
1686294505.4609468,9,0.4900398552417755
1686294526.668413,10,0.5776892304420471
1686294547.6084557,11,0.6892430186271667
1686294568.807139,12,0.7330677509307861
1686294589.9560452,13,0.7609561681747437
1686294611.3304937,14,0.7928286790847778
1686294632.070229,15,0.8127490282058716
1686294652.5779047,16,0.7848605513572693
1686294673.7014358,17,0.8286852836608887
1686294694.3672235,18,0.8326693177223206
1686294714.966643,19,0.8167330622673035
1686294735.3650072,20,0.824701189994812
1686294755.7643466,21,0.8326693177223206
1686294776.2300546,22,0.8486055731773376
1686294797.4785132,23,0.8565737009048462
1686294818.636204,24,0.8486055731773376
1686294839.8182943,25,0.8525896668434143
1686294860.8168979,26,0.8486055731773376
1686294881.9579964,27,0.8486055731773376
1686294902.8394787,28,0.8525896668434143
1686294923.771714,29,0.8525896668434143
1686294944.7371333,30,0.8525896668434143
1686294966.211047,31,0.8525896668434143
1686294987.9436018,32,0.8525896668434143
1686295008.7509093,33,0.8486055731773376
1686295029.4166956,34,0.8486055731773376
