Wall time,Step,Value
1686293060.0378883,0,0.23904383182525635
1686293080.9203475,1,0.32270917296409607
1686293101.985318,2,0.3466135561466217
1686293122.526178,3,0.48605579137802124
1686293145.2913375,4,0.5139442086219788
1686293166.3738768,5,0.4900398552417755
1686293187.3891425,6,0.6215139627456665
1686293208.546834,7,0.5458167195320129
1686293229.1950526,8,0.6892430186271667
1686293250.119052,9,0.6812748908996582
1686293271.3099265,10,0.8007968068122864
1686293292.6833134,11,0.8725099563598633
1686293313.5079484,12,0.8685259222984314
1686293334.2645035,13,0.8605577945709229
1686293355.3470423,14,0.8725099563598633
1686293376.6790051,15,0.9003984332084656
1686293397.6366158,16,0.9163346886634827
1686293418.6518106,17,0.912350594997406
1686293439.7095122,18,0.9243028163909912
1686293460.48266,19,0.9282868504524231
1686293481.198223,20,0.9243028163909912
1686293502.455466,21,0.9243028163909912
1686293523.479445,22,0.9282868504524231
1686293544.3702176,23,0.9322709441184998
1686293565.5528803,24,0.9322709441184998
1686293586.493541,25,0.9282868504524231
1686293607.5341122,26,0.9322709441184998
1686293628.50736,27,0.9362549781799316
1686293649.5235302,28,0.9322709441184998
1686293670.6551664,29,0.9282868504524231
1686293691.7705252,30,0.9243028163909912
1686293712.6110165,31,0.9243028163909912
1686293733.851744,32,0.9243028163909912
1686293757.6172256,33,0.9243028163909912
1686293778.5914292,34,0.9243028163909912
1686293799.7569277,35,0.9243028163909912
1686293820.7135627,36,0.9243028163909912
1686293841.4291255,37,0.9243028163909912
1686293861.9289937,38,0.9243028163909912
