Wall time,Step,Value
1686291379.7642913,0,2.0255091190338135
1686291400.7082386,1,2.5742623805999756
1686291421.0246184,2,2.1183106899261475
1686291441.2482786,3,1.9360731840133667
1686291461.630051,4,1.5029144287109375
1686291481.8039355,5,1.3949289321899414
1686291501.9202356,6,1.330485463142395
1686291522.0442786,7,1.1114805936813354
1686291542.0512671,8,1.1699906587600708
1686291562.3754554,9,1.1267350912094116
1686291584.315899,10,0.9186089038848877
1686291604.906535,11,0.8908352851867676
1686291624.7554119,12,0.8268694281578064
1686291644.6208801,13,0.8400814533233643
1686291664.2443018,14,0.8315364122390747
1686291684.3518183,15,0.7910804748535156
1686291704.751158,16,0.8119803071022034
1686291725.382786,17,0.7832707166671753
1686291745.564478,18,0.794877827167511
1686291765.7139637,19,0.7547553777694702
1686291786.0547428,20,0.7370980381965637
1686291806.0539231,21,0.7163271903991699
1686291826.527439,22,0.7359721064567566
1686291846.8262517,23,0.7178359031677246
1686291866.608761,24,0.6851509213447571
1686291887.1076524,25,0.7239285111427307
1686291906.956529,26,0.7220419645309448
1686291927.347085,27,0.712083101272583
1686291949.3880603,28,0.6994267702102661
1686291969.5863452,29,0.7604004740715027
1686291990.077583,30,0.7527158856391907
1686292010.5345075,31,0.7267417907714844
1686292030.8586946,32,0.6958823204040527
1686292051.107731,33,0.7227855324745178
1686292071.3977602,34,0.6952226758003235
1686292091.6223967,35,0.7099235653877258
1686292111.9212077,36,0.6933796405792236
1686292132.3870013,37,0.7268381714820862
1686292153.6354592,38,0.7035523056983948
1686292174.6259003,39,0.7269786596298218
