Wall time,Step,Value
1686294312.8365154,0,1.2898283004760742
1686294334.0361738,1,1.0526357889175415
1686294357.743172,2,0.9209286570549011
1686294380.017404,3,0.8381533622741699
1686294400.999415,4,0.7520683407783508
1686294421.7901309,5,0.6654688119888306
1686294442.6558967,6,0.6328548789024353
1686294463.746243,7,0.600432813167572
1686294484.6028872,8,0.5339711904525757
1686294505.4609468,9,0.5062175989151001
1686294526.6674368,10,0.47305557131767273
1686294547.6084557,11,0.45752084255218506
1686294568.807139,12,0.43981510400772095
1686294589.9560452,13,0.4272529184818268
1686294611.3295178,14,0.4640601575374603
1686294632.070229,15,0.434724360704422
1686294652.5779047,16,0.4543234407901764
1686294673.7014358,17,0.4386279582977295
1686294694.3672235,18,0.4123818576335907
1686294714.965667,19,0.4387037754058838
1686294735.3650072,20,0.4526565968990326
1686294755.7643466,21,0.44349801540374756
1686294776.2290788,22,0.4307706356048584
1686294797.4785132,23,0.4317508935928345
1686294818.6352284,24,0.4440153241157532
1686294839.8182943,25,0.41464704275131226
1686294860.8168979,26,0.44472289085388184
1686294881.9570198,27,0.41084522008895874
1686294902.8394787,28,0.4072713851928711
1686294923.771714,29,0.4267961084842682
1686294944.7371333,30,0.41188862919807434
1686294966.211047,31,0.4177776575088501
1686294987.9436018,32,0.41700929403305054
1686295008.7509093,33,0.4048961400985718
1686295029.4157195,34,0.39918142557144165
